name,gender
Михаил,M
Калоян,M
Симеон,M
Павлин,M
Боян,M
Алекс,M
Кирил,M
Александър,M
Георги,M
Чавдар,M
Йоан,M
Йордан,M
Петър,M
Петко,M
Димитър,M
Борис,M
Борислав,M
Кристиян,M
Християн,M
Христо,M
Илия,M
Мартин,M
Денис,M
Денислав,M
Станислав,M
Станимир,M
Младен,M
Спас,M
Спасимир,M
Радомир,M
Стефан,M
Юлиян,M
Юри,M
Калин,M
Константин,M
Никола,M
Николай,M
Даниел,M
Доминик,M
Валентин,M
Дончо,M
Пламен,M
Павел,M
Кънчо,M
Крум,M
Красимир,M
Сергей,M
Ивайло,M
Петьо,M
Драган,M
Женя,F
Марина,F
Андреа,F
Васил,M
Енчо,M
Владимир,M
Яни,M
Гавраил,M
Дамян,M
Даниил,M
Йосиф,M
Козма,M
Лазар,M
Самуил,M
Филим,M
Харалампий,M
Радан,M
Богомил,M
Радуил,M
Радул,M
Милуш,M
Гено,M
Галин,M
Гален,M
Михаел,M
Мирослав,M
Румен,M
Дойчин,M
Гошо,M
Стилян,M
Златан,M
Златин,M
Станой,M
Цветелин,M
Цветан,M
Бойко,M
Делян,M
Деян,M
Диян,M
Данаил,M
Благун,M
Светлозар,M
Ваклин,M
Енислав,M
Христалин,M
Евелин,M
Ивелин,M
Иван,M
Братан,M
Нина,F
Йорданка,F
Николина,F
Мая,F
Стоянка,F
Стефанка,F
Павлина,F
Жаклин,F
Иванина,F
Ивелина,F
Виктория,F
Иванка,F
Стефанка,F
Моника,F
Гергана,F
Дана,F
Камелия,F
Владислава,F
Владислав,M
Десисалва,F
Цвети,F
Цветанка,F
Адриана,F
Жулиета,F
Александра,F
Росица,F
Калина,F
Калинка,F
Камелия,F
Жулгена,F
Евгения,F
Стела,F
Никол,F
Памела,F
Катя,F
Катерина,F
Юлия,F
Яна,F
Тотка,F
Янина,F
Виолета,F
Петя,F
Недялка,F
Златка,F
Михаела,F
Йоана,F
Румяна,F
Деница,F
Даница,F
Даниела,F
Руси,F
Руслан,F